"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-105.13","63.60","HANBURY RIVER","2202351","2013-01-01","2013","01","01","","-20.1","","-25.0","","-22.6","","40.6","","0.0","","","M","","M","0.4","","11","","","","<31",""
"-105.13","63.60","HANBURY RIVER","2202351","2013-01-02","2013","01","02","","-17.8","","-34.6","","-26.2","","44.2","","0.0","","","M","","M","0.4","","10","","","","<31",""
"-105.13","63.60","HANBURY RIVER","2202351","2013-01-03","2013","01","03","","-13.8","","-28.7","","-21.3","","39.3","","0.0","","","M","","M","","M","10","","","","<31",""
"-105.13","63.60","HANBURY RIVER","2202351","2013-01-04","2013","01","04","","-20.4","","-25.4","","-22.9","","40.9","","0.0","","","M","","M","0.0","","10","","30","","56",""
"-105.13","63.60","HANBURY RIVER","2202351","2013-01-05","2013","01","05","","-20.7","","-26.2","","-23.5","","41.5","","0.0","","","M","","M","0.0","","14","","29","","44",""
"-105.13","63.60","HANBURY RIVER","2202351","2013-01-06","2013","01","06","","-18.9","","-31.0","","-25.0","","43.0","","0.0","","","M","","M","0.0","","26","","30","","33",""
"-105.13","63.60","HANBURY RIVER","2202351","2013-01-07","2013","01","07","","-30.0","","-36.5","","-33.3","","51.3","","0.0","","","M","","M","0.2","","26","","","","<31",""
"-105.13","63.60","HANBURY RIVER","2202351","2013-01-08","2013","01","08","","-36.4","","-40.0","","-38.2","","56.2","","0.0","","","M","","M","0.0","","25","","","","<31",""
"-105.13","63.60","HANBURY RIVER","2202351","2013-01-09","2013","01","09","","-37.1","","-41.3","","-39.2","","57.2","","0.0","","","M","","M","0.0","","25","","","","<31",""
"-105.13","63.60","HANBURY RIVER","2202351","2013-01-10","2013","01","10","","-32.4","","-38.8","","-35.6","","53.6","","0.0","","","M","","M","0.0","","25","","26","","41",""
"-105.13","63.60","HANBURY RIVER","2202351","2013-01-11","2013","01","11","","-26.7","","-32.7","","-29.7","","47.7","","0.0","","","M","","M","0.0","","25","","26","","37",""
"-105.13","63.60","HANBURY RIVER","2202351","2013-01-12","2013","01","12","","-25.2","","-38.1","","-31.7","","49.7","","0.0","","","M","","M","0.4","","24","","1","","39",""
"-105.13","63.60","HANBURY RIVER","2202351","2013-01-13","2013","01","13","","-33.7","","-40.5","","-37.1","","55.1","","0.0","","","M","","M","0.2","","25","","","","<31",""
"-105.13","63.60","HANBURY RIVER","2202351","2013-01-14","2013","01","14","","-39.9","","-43.8","","-41.9","","59.9","","0.0","","","M","","M","0.0","","24","","","","<31",""
"-105.13","63.60","HANBURY RIVER","2202351","2013-01-15","2013","01","15","","-40.8","","-43.0","","-41.9","","59.9","","0.0","","","M","","M","0.0","","24","","32","","41",""
"-105.13","63.60","HANBURY RIVER","2202351","2013-01-16","2013","01","16","","-34.5","","-41.8","","-38.2","","56.2","","0.0","","","M","","M","0.0","","24","","31","","54",""
"-105.13","63.60","HANBURY RIVER","2202351","2013-01-17","2013","01","17","","-36.2","","-40.2","","-38.2","","56.2","","0.0","","","M","","M","0.0","","24","","30","","41",""
"-105.13","63.60","HANBURY RIVER","2202351","2013-01-18","2013","01","18","","-36.4","","-40.7","","-38.6","","56.6","","0.0","","","M","","M","0.0","","24","","31","","39",""
"-105.13","63.60","HANBURY RIVER","2202351","2013-01-19","2013","01","19","","-30.3","","-37.6","","-34.0","","52.0","","0.0","","","M","","M","0.0","","24","","31","","52",""
"-105.13","63.60","HANBURY RIVER","2202351","2013-01-20","2013","01","20","","-28.7","","-33.5","","-31.1","","49.1","","0.0","","","M","","M","0.0","","24","","32","","50",""
"-105.13","63.60","HANBURY RIVER","2202351","2013-01-21","2013","01","21","","-26.4","","-33.6","","-30.0","","48.0","","0.0","","","M","","M","0.0","","28","","30","","50",""
"-105.13","63.60","HANBURY RIVER","2202351","2013-01-22","2013","01","22","","-28.6","","-38.2","","-33.4","","51.4","","0.0","","","M","","M","","M","26","","","","<31",""
"-105.13","63.60","HANBURY RIVER","2202351","2013-01-23","2013","01","23","","-36.7","","-40.2","","-38.5","","56.5","","0.0","","","M","","M","","M","26","","","","<31",""
"-105.13","63.60","HANBURY RIVER","2202351","2013-01-24","2013","01","24","","-32.6","","-40.4","","-36.5","","54.5","","0.0","","","M","","M","","M","26","","","","<31",""
"-105.13","63.60","HANBURY RIVER","2202351","2013-01-25","2013","01","25","","-22.3","","-32.6","","-27.5","","45.5","","0.0","","","M","","M","","M","26","","","","<31",""
"-105.13","63.60","HANBURY RIVER","2202351","2013-01-26","2013","01","26","","-24.3","","-29.7","","-27.0","","45.0","","0.0","","","M","","M","0.0","","26","","","","<31",""
"-105.13","63.60","HANBURY RIVER","2202351","2013-01-27","2013","01","27","","-22.8","","-28.4","","-25.6","","43.6","","0.0","","","M","","M","0.2","","27","","","","<31",""
"-105.13","63.60","HANBURY RIVER","2202351","2013-01-28","2013","01","28","","-21.4","","-30.4","","-25.9","","43.9","","0.0","","","M","","M","0.8","","29","","4","","41",""
"-105.13","63.60","HANBURY RIVER","2202351","2013-01-29","2013","01","29","","-30.4","","-38.2","","-34.3","","52.3","","0.0","","","M","","M","0.4","","26","","36","","32",""
