"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-105.13","63.60","HANBURY RIVER","2202351","2015-01-01","2015","01","01","","-26.3","","-30.3","","-28.3","","46.3","","0.0","","","M","","M","0.0","","40","","31","","59",""
"-105.13","63.60","HANBURY RIVER","2202351","2015-01-02","2015","01","02","","-29.3","","-35.9","","-32.6","","50.6","","0.0","","","M","","M","0.2","","40","","32","","37",""
"-105.13","63.60","HANBURY RIVER","2202351","2015-01-03","2015","01","03","","-22.9","","-36.3","","-29.6","","47.6","","0.0","","","M","","M","0.0","","40","","33","","43",""
"-105.13","63.60","HANBURY RIVER","2202351","2015-01-04","2015","01","04","","-20.8","","-31.1","","-26.0","","44.0","","0.0","","","M","","M","","M","40","","34","","44",""
"-105.13","63.60","HANBURY RIVER","2202351","2015-01-05","2015","01","05","","-28.6","","-32.8","","-30.7","","48.7","","0.0","","","M","","M","0.2","","40","","34","","50",""
"-105.13","63.60","HANBURY RIVER","2202351","2015-01-06","2015","01","06","","-16.7","","-30.8","","-23.8","","41.8","","0.0","","","M","","M","0.0","","40","","29","","57",""
"-105.13","63.60","HANBURY RIVER","2202351","2015-01-07","2015","01","07","","-16.1","","-26.6","","-21.4","","39.4","","0.0","","","M","","M","0.0","","39","","33","","83",""
"-105.13","63.60","HANBURY RIVER","2202351","2015-01-08","2015","01","08","","-21.9","","-26.3","","-24.1","","42.1","","0.0","","","M","","M","0.4","","39","","32","","87",""
"-105.13","63.60","HANBURY RIVER","2202351","2015-01-09","2015","01","09","","-20.3","","-29.0","","-24.7","","42.7","","0.0","","","M","","M","0.2","","39","","32","","56",""
"-105.13","63.60","HANBURY RIVER","2202351","2015-01-10","2015","01","10","","-22.8","","-32.4","","-27.6","","45.6","","0.0","","","M","","M","0.0","","39","","29","","52",""
"-105.13","63.60","HANBURY RIVER","2202351","2015-01-11","2015","01","11","","-19.3","","-35.7","","-27.5","","45.5","","0.0","","","M","","M","0.0","","39","","26","","63",""
"-105.13","63.60","HANBURY RIVER","2202351","2015-01-12","2015","01","12","","-18.3","","-28.2","","-23.3","","41.3","","0.0","","","M","","M","","M","39","","35","","52",""
"-105.13","63.60","HANBURY RIVER","2202351","2015-01-13","2015","01","13","","-23.9","","-31.6","","-27.8","","45.8","","0.0","","","M","","M","0.0","","39","","31","","43",""
"-105.13","63.60","HANBURY RIVER","2202351","2015-01-14","2015","01","14","","-28.2","","-33.2","","-30.7","","48.7","","0.0","","","M","","M","0.2","","40","","34","","32",""
"-105.13","63.60","HANBURY RIVER","2202351","2015-01-15","2015","01","15","","-31.0","","-37.9","","-34.5","","52.5","","0.0","","","M","","M","","M","39","","34","","35",""
