"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.78","60.84","HAY RIVER A","2202400","2014-01-01","2014","01","01","","-24.1","","-41.2","","-32.7","","50.7","","0.0","","0.0","","0.0","","0.0","","20","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2014-01-02","2014","01","02","","-14.9","","-24.6","","-19.8","","37.8","","0.0","","0.0","","2.8","","2.0","","20","","31","E","41","E"
"-115.78","60.84","HAY RIVER A","2202400","2014-01-03","2014","01","03","","-23.6","","-28.9","","-26.3","","44.3","","0.0","","0.0","","0.0","","0.0","","22","","30","E","32","E"
"-115.78","60.84","HAY RIVER A","2202400","2014-01-04","2014","01","04","","-28.8","","-33.1","","-31.0","","49.0","","0.0","","0.0","","0.0","","0.0","","22","","32","E","37","E"
"-115.78","60.84","HAY RIVER A","2202400","2014-01-05","2014","01","05","","-22.8","","-37.9","","-30.4","","48.4","","0.0","","0.0","","0.0","","0.0","","22","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2014-01-06","2014","01","06","","-20.1","","-30.0","","-25.1","","43.1","","0.0","","0.0","","0.0","T","0.0","T","24","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2014-01-07","2014","01","07","","-21.0","","-35.7","","-28.4","","46.4","","0.0","","0.0","","0.0","","0.0","","24","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2014-01-08","2014","01","08","","-13.4","","-21.4","","-17.4","","35.4","","0.0","","0.0","","0.0","T","0.0","T","24","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2014-01-09","2014","01","09","","-14.6","","-21.2","","-17.9","","35.9","","0.0","","0.0","","2.4","","2.0","","25","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2014-01-10","2014","01","10","","-19.9","","-28.5","","-24.2","","42.2","","0.0","","0.0","","1.6","","0.6","","25","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2014-01-11","2014","01","11","","-23.4","","-33.2","","-28.3","","46.3","","0.0","","0.0","","1.8","","1.0","","26","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2014-01-12","2014","01","12","","-19.9","","-31.3","","-25.6","","43.6","","0.0","","0.0","","0.0","T","0.0","T","27","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2014-01-13","2014","01","13","","-21.0","","-36.2","","-28.6","","46.6","","0.0","","0.0","","0.0","","0.0","","27","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2014-01-14","2014","01","14","","-0.3","","-35.7","","-18.0","","36.0","","0.0","","6.2","","0.8","","6.8","","27","","16","E","37","E"
"-115.78","60.84","HAY RIVER A","2202400","2014-01-15","2014","01","15","","0.5","","-15.8","","-7.7","","25.7","","0.0","","1.0","","8.4","","9.2","","25","","32","E","46","E"
"-115.78","60.84","HAY RIVER A","2202400","2014-01-16","2014","01","16","","-1.6","","-19.3","","-10.5","","28.5","","0.0","","0.0","T","0.0","T","0.0","T","25","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2014-01-17","2014","01","17","","-1.4","","-17.0","","-9.2","","27.2","","0.0","","0.0","T","0.0","T","0.0","T","25","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2014-01-18","2014","01","18","","-15.2","","-16.9","","-16.1","","34.1","","0.0","","0.0","","0.0","T","0.0","T","25","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2014-01-19","2014","01","19","","-15.9","","-26.9","","-21.4","","39.4","","0.0","","0.0","","2.2","","2.0","","25","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2014-01-20","2014","01","20","","-16.9","","-22.2","","-19.6","","37.6","","0.0","","0.0","","0.0","T","0.0","T","24","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2014-01-21","2014","01","21","","-16.6","","-25.1","","-20.9","","38.9","","0.0","","0.0","","0.0","","0.0","","25","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2014-01-22","2014","01","22","","-8.1","","-21.5","","-14.8","","32.8","","0.0","","0.0","","0.0","","0.0","","25","","19","E","39","E"
"-115.78","60.84","HAY RIVER A","2202400","2014-01-23","2014","01","23","","-3.2","","-11.2","","-7.2","","25.2","","0.0","","0.0","","0.0","","0.0","","25","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2014-01-24","2014","01","24","","-8.3","","-15.9","","-12.1","","30.1","","0.0","","0.0","","1.0","","0.2","","24","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2014-01-25","2014","01","25","","-9.3","","-24.4","","-16.9","","34.9","","0.0","","0.0","","0.0","T","0.0","T","24","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2014-01-26","2014","01","26","","-23.1","","-33.7","","-28.4","","46.4","","0.0","","0.0","","0.0","","0.0","","24","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2014-01-27","2014","01","27","","-12.3","","-31.5","","-21.9","","39.9","","0.0","","0.0","","0.0","","0.0","","24","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2014-01-28","2014","01","28","","-17.3","","-22.6","","-20.0","","38.0","","0.0","","0.0","","0.2","","0.0","T","24","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2014-01-29","2014","01","29","","-20.0","","-25.8","","-22.9","","40.9","","0.0","","0.0","","0.6","","0.2","","24","","31","E","32","E"
"-115.78","60.84","HAY RIVER A","2202400","2014-01-30","2014","01","30","","-14.5","","-24.4","","-19.5","","37.5","","0.0","","0.0","","0.0","","0.0","","24","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2014-01-31","2014","01","31","","-14.7","","-20.4","","-17.6","","35.6","","0.0","","0.0","","0.0","T","0.0","T","24","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2014-02-01","2014","02","01","","-12.7","","-18.6","","-15.7","","33.7","","0.0","","0.0","","1.4","","0.8","","24","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2014-02-02","2014","02","02","","-14.9","","-20.7","","-17.8","","35.8","","0.0","","0.0","","3.8","","2.0","","24","","31","E","35","E"
"-115.78","60.84","HAY RIVER A","2202400","2014-02-03","2014","02","03","","-14.7","","-22.9","","-18.8","","36.8","","0.0","","0.0","","0.8","","0.0","T","26","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2014-02-04","2014","02","04","","-16.3","","-26.8","","-21.6","","39.6","","0.0","","0.0","","0.4","","0.2","","26","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2014-02-05","2014","02","05","","-15.2","","-28.7","","-22.0","","40.0","","0.0","","0.0","","0.0","","0.0","","26","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2014-02-06","2014","02","06","","-10.6","","-21.8","","-16.2","","34.2","","0.0","","0.0","","3.8","","0.8","","26","","","","<31",""
