"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.02","64.39","INDIN RIVER","2202552","2000-01-01","2000","01","01","","-23.3","","-45.4","","-34.4","","52.4","","0.0","","","","","","","","","","","","",""
"-115.02","64.39","INDIN RIVER","2202552","2000-01-02","2000","01","02","","-20.9","","-24.6","","-22.8","","40.8","","0.0","","","","","","","","","","","","",""
"-115.02","64.39","INDIN RIVER","2202552","2000-01-03","2000","01","03","","-22.4","","-40.9","","-31.7","","49.7","","0.0","","","","","","","","","","","","",""
"-115.02","64.39","INDIN RIVER","2202552","2000-01-04","2000","01","04","","-37.8","","-44.0","","-40.9","","58.9","","0.0","","","","","","","","","","","","",""
"-115.02","64.39","INDIN RIVER","2202552","2000-01-05","2000","01","05","","-35.6","","-44.7","","-40.2","","58.2","","0.0","","","","","","","","","","","","",""
"-115.02","64.39","INDIN RIVER","2202552","2000-01-06","2000","01","06","","-30.8","","-42.1","","-36.5","","54.5","","0.0","","","","","","","","","","","","",""
"-115.02","64.39","INDIN RIVER","2202552","2000-01-07","2000","01","07","","-28.7","","-42.5","","-35.6","","53.6","","0.0","","","","","","","","","","","","",""
"-115.02","64.39","INDIN RIVER","2202552","2000-01-08","2000","01","08","","-24.2","","-40.0","","-32.1","","50.1","","0.0","","","","","","","","","","","","",""
"-115.02","64.39","INDIN RIVER","2202552","2000-01-09","2000","01","09","","-24.2","","-29.5","","-26.9","","44.9","","0.0","","","","","","","","","","","","",""
"-115.02","64.39","INDIN RIVER","2202552","2000-01-10","2000","01","10","","-29.5","","-46.6","","-38.1","","56.1","","0.0","","","","","","","","","","","","",""
"-115.02","64.39","INDIN RIVER","2202552","2000-01-11","2000","01","11","","-43.9","","-47.4","","-45.7","","63.7","","0.0","","","","","","","","","","","","",""
"-115.02","64.39","INDIN RIVER","2202552","2000-01-12","2000","01","12","","-39.4","","-47.3","","-43.4","","61.4","","0.0","","","","","","","","","","","","",""
"-115.02","64.39","INDIN RIVER","2202552","2000-01-13","2000","01","13","","-41.3","","-49.7","","-45.5","","63.5","","0.0","","","","","","","","","","","","",""
"-115.02","64.39","INDIN RIVER","2202552","2000-01-14","2000","01","14","","-41.6","","-47.7","","-44.7","","62.7","","0.0","","","","","","","","","","","","",""
"-115.02","64.39","INDIN RIVER","2202552","2000-01-15","2000","01","15","","-29.2","","-47.7","","-38.5","","56.5","","0.0","","","","","","","","","","","","",""
"-115.02","64.39","INDIN RIVER","2202552","2000-01-16","2000","01","16","","-26.9","","-38.6","","-32.8","","50.8","","0.0","","","","","","","","","","","","",""
"-115.02","64.39","INDIN RIVER","2202552","2000-01-17","2000","01","17","","-33.0","","-40.5","","-36.8","","54.8","","0.0","","","","","","","","","","","","",""
"-115.02","64.39","INDIN RIVER","2202552","2000-01-18","2000","01","18","","-29.0","","-33.0","","-31.0","","49.0","","0.0","","","","","","","","","","","","",""
"-115.02","64.39","INDIN RIVER","2202552","2000-01-19","2000","01","19","","-29.5","","-37.1","","-33.3","","51.3","","0.0","","","","","","","","","","","","",""
"-115.02","64.39","INDIN RIVER","2202552","2000-01-20","2000","01","20","","-20.0","","-37.1","","-28.6","","46.6","","0.0","","","","","","","","","","","","",""
"-115.02","64.39","INDIN RIVER","2202552","2000-01-21","2000","01","21","","-23.0","","-30.3","","-26.7","","44.7","","0.0","","","","","","","","","","","","",""
"-115.02","64.39","INDIN RIVER","2202552","2000-01-22","2000","01","22","","-19.2","","-36.5","","-27.9","","45.9","","0.0","","","","","","","","","","","","",""
"-115.02","64.39","INDIN RIVER","2202552","2000-01-23","2000","01","23","","-12.6","","-34.0","","-23.3","","41.3","","0.0","","","","","","","","","","","","",""
"-115.02","64.39","INDIN RIVER","2202552","2000-01-24","2000","01","24","","-15.3","","-36.4","","-25.9","","43.9","","0.0","","","","","","","","","","","","",""
"-115.02","64.39","INDIN RIVER","2202552","2000-01-25","2000","01","25","","-16.6","","-27.7","","-22.2","","40.2","","0.0","","","","","","","","","","","","",""
"-115.02","64.39","INDIN RIVER","2202552","2000-01-26","2000","01","26","","-13.6","","-17.5","","-15.6","","33.6","","0.0","","","","","","","","","","","","",""
"-115.02","64.39","INDIN RIVER","2202552","2000-01-27","2000","01","27","","-9.2","","-24.6","","-16.9","","34.9","","0.0","","","","","","","","","","","","",""
"-115.02","64.39","INDIN RIVER","2202552","2000-01-28","2000","01","28","","1.0","","-9.2","","-4.1","","22.1","","0.0","","","","","","","","","","","","",""
