"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-105.13","63.60","HANBURY RIVER","2202351","2014-01-01","2014","01","01","","-32.9","","-37.3","","-35.1","","53.1","","0.0","","","M","","M","0.0","","7","","29","","32",""
"-105.13","63.60","HANBURY RIVER","2202351","2014-01-02","2014","01","02","","-25.9","","-37.7","","-31.8","","49.8","","0.0","","","M","","M","0.2","","7","","9","","56",""
"-105.13","63.60","HANBURY RIVER","2202351","2014-01-03","2014","01","03","","-25.1","","-27.3","","-26.2","","44.2","","0.0","","","M","","M","0.8","","7","","6","","50",""
"-105.13","63.60","HANBURY RIVER","2202351","2014-01-04","2014","01","04","","-26.9","","-30.4","","-28.7","","46.7","","0.0","","","M","","M","0.6","","7","","4","","59",""
"-105.13","63.60","HANBURY RIVER","2202351","2014-01-05","2014","01","05","","-29.9","","-36.3","","-33.1","","51.1","","0.0","","","M","","M","0.0","","7","","1","","48",""
"-105.13","63.60","HANBURY RIVER","2202351","2014-01-06","2014","01","06","","-32.4","","-37.5","","-35.0","","53.0","","0.0","","","M","","M","0.0","","7","","","","<31",""
"-105.13","63.60","HANBURY RIVER","2202351","2014-01-07","2014","01","07","","-29.2","","-35.9","","-32.6","","50.6","","0.0","","","M","","M","0.0","","7","","34","","35",""
"-105.13","63.60","HANBURY RIVER","2202351","2014-01-08","2014","01","08","","-19.0","","-35.9","","-27.5","","45.5","","0.0","","","M","","M","","M","7","","","","<31",""
"-105.13","63.60","HANBURY RIVER","2202351","2014-01-09","2014","01","09","","-22.3","","-31.5","","-26.9","","44.9","","0.0","","","M","","M","0.0","","10","","28","","46",""
"-105.13","63.60","HANBURY RIVER","2202351","2014-01-10","2014","01","10","","-25.1","","-35.7","","-30.4","","48.4","","0.0","","","M","","M","1.1","","7","","","","<31",""
"-105.13","63.60","HANBURY RIVER","2202351","2014-01-11","2014","01","11","","-23.0","","-37.8","","-30.4","","48.4","","0.0","","","M","","M","0.2","","9","","31","","35",""
"-105.13","63.60","HANBURY RIVER","2202351","2014-01-12","2014","01","12","","-32.6","","-40.1","","-36.4","","54.4","","0.0","","","M","","M","0.0","","8","","","","<31",""
"-105.13","63.60","HANBURY RIVER","2202351","2014-01-13","2014","01","13","","-25.3","","-33.7","","-29.5","","47.5","","0.0","","","M","","M","0.9","","8","","30","","44",""
"-105.13","63.60","HANBURY RIVER","2202351","2014-01-14","2014","01","14","","-33.2","","-39.5","","-36.4","","54.4","","0.0","","","M","","M","0.0","","8","","12","","37",""
"-105.13","63.60","HANBURY RIVER","2202351","2014-01-15","2014","01","15","","-19.7","","-33.7","","-26.7","","44.7","","0.0","","","M","","M","0.2","","8","","13","","44",""
"-105.13","63.60","HANBURY RIVER","2202351","2014-01-16","2014","01","16","","-18.2","","-36.0","","-27.1","","45.1","","0.0","","","M","","M","0.0","","7","","30","","50",""
"-105.13","63.60","HANBURY RIVER","2202351","2014-01-17","2014","01","17","","-26.0","","-37.4","","-31.7","","49.7","","0.0","","","M","","M","1.8","","7","","","","<31",""
"-105.13","63.60","HANBURY RIVER","2202351","2014-01-18","2014","01","18","","-26.3","","-41.5","","-33.9","","51.9","","0.0","","","M","","M","0.0","","7","","1","","44",""
"-105.13","63.60","HANBURY RIVER","2202351","2014-01-19","2014","01","19","","-39.6","","-42.8","","-41.2","","59.2","","0.0","","","M","","M","0.0","","7","","3","","35",""
"-105.13","63.60","HANBURY RIVER","2202351","2014-01-20","2014","01","20","","-27.2","","-39.7","","-33.5","","51.5","","0.0","","","M","","M","0.9","","7","","","","<31",""
"-105.13","63.60","HANBURY RIVER","2202351","2014-01-21","2014","01","21","","-31.7","","-39.9","","-35.8","","53.8","","0.0","","","M","","M","0.0","","10","","5","","33",""
"-105.13","63.60","HANBURY RIVER","2202351","2014-01-22","2014","01","22","","-15.2","","-38.7","","-27.0","","45.0","","0.0","","","M","","M","0.0","","10","","26","","63",""
"-105.13","63.60","HANBURY RIVER","2202351","2014-01-23","2014","01","23","","-12.9","","-27.7","","-20.3","","38.3","","0.0","","","M","","M","0.2","","10","","34","","74",""
"-105.13","63.60","HANBURY RIVER","2202351","2014-01-24","2014","01","24","","-25.0","","-33.7","","-29.4","","47.4","","0.0","","","M","","M","0.0","","7","","35","","48",""
"-105.13","63.60","HANBURY RIVER","2202351","2014-01-25","2014","01","25","","-29.6","","-35.2","","-32.4","","50.4","","0.0","","","M","","M","0.2","","7","","36","","72",""
"-105.13","63.60","HANBURY RIVER","2202351","2014-01-26","2014","01","26","","-34.6","","-36.8","","-35.7","","53.7","","0.0","","","M","","M","0.0","","7","","34","","52",""
"-105.13","63.60","HANBURY RIVER","2202351","2014-01-27","2014","01","27","","-27.2","","-35.6","","-31.4","","49.4","","0.0","","","M","","M","0.0","","7","","28","","37",""
"-105.13","63.60","HANBURY RIVER","2202351","2014-01-28","2014","01","28","","-24.0","","-28.8","","-26.4","","44.4","","0.0","","","M","","M","0.0","","7","","1","","46",""
"-105.13","63.60","HANBURY RIVER","2202351","2014-01-29","2014","01","29","","-22.0","","-25.2","","-23.6","","41.6","","0.0","","","M","","M","0.0","","7","","34","","59",""
"-105.13","63.60","HANBURY RIVER","2202351","2014-01-30","2014","01","30","","-17.6","","-23.1","","-20.4","","38.4","","0.0","","","M","","M","0.2","","7","","31","","54",""
