"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.78","60.84","HAY RIVER A","2202400","2009-01-01","2009","01","01","","-28.1","","-35.4","","-31.8","","49.8","","0.0","","0.0","","0.8","","0.4","","41","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2009-01-02","2009","01","02","","-31.0","","-37.3","","-34.2","","52.2","","0.0","","0.0","","0.2","","0.2","","41","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2009-01-03","2009","01","03","","-30.4","","-36.5","","-33.5","","51.5","","0.0","","0.0","","0.0","T","0.0","T","41","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2009-01-04","2009","01","04","","-25.3","","-37.0","","-31.2","","49.2","","0.0","","0.0","","0.0","T","0.0","T","41","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2009-01-05","2009","01","05","","-19.9","","-26.4","","-23.2","","41.2","","0.0","","0.0","","5.4","","4.0","","44","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2009-01-06","2009","01","06","","-24.4","","-28.6","","-26.5","","44.5","","0.0","","0.0","","5.8","","3.4","","44","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2009-01-07","2009","01","07","","-28.6","","-36.8","","-32.7","","50.7","","0.0","","0.0","","0.8","","0.2","","47","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2009-01-08","2009","01","08","","-27.3","","-33.0","","-30.2","","48.2","","0.0","","0.0","","0.8","","0.2","","47","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2009-01-09","2009","01","09","","-29.3","","-36.2","","-32.8","","50.8","","0.0","","0.0","","0.0","","0.0","","47","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2009-01-10","2009","01","10","","-26.8","","-36.3","","-31.6","","49.6","","0.0","","0.0","","0.0","T","0.0","T","47","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2009-01-11","2009","01","11","","-31.3","","-39.3","","-35.3","","53.3","","0.0","","0.0","","0.0","","0.0","","46","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2009-01-12","2009","01","12","","-24.1","","-42.0","","-33.1","","51.1","","0.0","","0.0","","0.0","","0.0","","46","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2009-01-13","2009","01","13","","-23.9","","-36.9","","-30.4","","48.4","","0.0","","0.0","","0.0","","0.0","","46","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2009-01-14","2009","01","14","","-18.6","","-36.2","","-27.4","","45.4","","0.0","","0.0","","1.0","","0.4","","46","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2009-01-15","2009","01","15","","-4.3","","-18.6","","-11.5","","29.5","","0.0","","0.0","","0.0","T","0.0","T","46","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2009-01-16","2009","01","16","","1.2","","-13.5","","-6.2","","24.2","","0.0","","0.0","","0.0","","0.0","","46","","28","E","33","E"
"-115.78","60.84","HAY RIVER A","2202400","2009-01-17","2009","01","17","","5.0","","-6.0","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","45","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2009-01-18","2009","01","18","","5.8","","-3.8","","1.0","","17.0","","0.0","","0.0","","0.0","","0.0","","44","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2009-01-19","2009","01","19","","6.6","","-6.0","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","43","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2009-01-20","2009","01","20","","-1.6","","-11.1","","-6.4","","24.4","","0.0","","0.0","","0.8","","0.6","","43","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2009-01-21","2009","01","21","","-4.8","","-20.2","","-12.5","","30.5","","0.0","","0.0","","8.0","","7.4","","45","","3","E","43","E"
"-115.78","60.84","HAY RIVER A","2202400","2009-01-22","2009","01","22","","-20.1","","-27.2","","-23.7","","41.7","","0.0","","0.0","","0.4","","0.2","","50","","","","<31",""
