"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.78","60.84","HAY RIVER A","2202400","2010-01-01","2010","01","01","","-22.4","","-30.7","","-26.6","","44.6","","0.0","","0.0","","0.8","","0.4","","26","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2010-01-02","2010","01","02","","-23.9","","-32.2","","-28.1","","46.1","","0.0","","0.0","","0.0","T","0.0","T","26","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2010-01-03","2010","01","03","","-23.5","","-32.1","","-27.8","","45.8","","0.0","","0.0","","0.0","","0.0","","26","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2010-01-04","2010","01","04","","-23.8","","-35.4","","-29.6","","47.6","","0.0","","0.0","","0.0","T","0.0","T","26","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2010-01-05","2010","01","05","","-27.4","","-35.4","","-31.4","","49.4","","0.0","","0.0","","0.0","T","0.0","T","26","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2010-01-06","2010","01","06","","-15.3","","-30.6","","-23.0","","41.0","","0.0","","0.0","","0.0","T","0.0","T","26","","17","E","32","E"
"-115.78","60.84","HAY RIVER A","2202400","2010-01-07","2010","01","07","","-12.7","","-21.9","","-17.3","","35.3","","0.0","","0.0","","0.0","","0.0","","26","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2010-01-08","2010","01","08","","-10.1","","-23.2","","-16.7","","34.7","","0.0","","0.0","","2.4","","2.0","","26","","31","E","35","E"
"-115.78","60.84","HAY RIVER A","2202400","2010-01-09","2010","01","09","","-12.3","","-19.7","","-16.0","","34.0","","0.0","","0.0","","2.2","","1.6","","27","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2010-01-10","2010","01","10","","-19.5","","-25.2","","-22.4","","40.4","","0.0","","0.0","","5.4","","4.4","","28","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2010-01-11","2010","01","11","","-19.6","","-26.8","","-23.2","","41.2","","0.0","","0.0","","13.4","","12.6","","34","","29","E","44","E"
"-115.78","60.84","HAY RIVER A","2202400","2010-01-12","2010","01","12","","-25.2","","-29.5","","-27.4","","45.4","","0.0","","0.0","","4.2","","4.0","","42","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2010-01-13","2010","01","13","","-25.2","","-28.6","","-26.9","","44.9","","0.0","","0.0","","0.0","T","0.0","T","46","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2010-01-14","2010","01","14","","-20.0","","-25.4","","-22.7","","40.7","","0.0","","0.0","","0.6","","0.4","","46","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2010-01-15","2010","01","15","","-15.2","","-20.0","","-17.6","","35.6","","0.0","","0.0","","0.2","","0.0","T","46","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2010-01-16","2010","01","16","","-16.4","","-27.0","","-21.7","","39.7","","0.0","","0.0","","0.2","","0.0","T","46","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2010-01-17","2010","01","17","","-7.1","","-20.9","","-14.0","","32.0","","0.0","","0.0","","0.0","T","0.0","T","46","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2010-01-18","2010","01","18","","-20.6","","-23.2","","-21.9","","39.9","","0.0","","0.0","","0.0","T","0.0","T","46","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2010-01-19","2010","01","19","","-18.0","","-24.4","","-21.2","","39.2","","0.0","","0.0","","0.0","T","0.0","T","45","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2010-01-20","2010","01","20","","-7.2","","-22.9","","-15.1","","33.1","","0.0","","0.0","","0.0","T","0.0","T","45","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2010-01-21","2010","01","21","","-7.6","","-13.0","","-10.3","","28.3","","0.0","","0.0","","0.0","T","0.0","T","44","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2010-01-22","2010","01","22","","-7.0","","-10.1","","-8.6","","26.6","","0.0","","0.0","T","0.0","T","0.0","T","43","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2010-01-23","2010","01","23","","-9.1","","-16.9","","-13.0","","31.0","","0.0","","0.0","","1.8","","0.8","","43","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2010-01-24","2010","01","24","","-16.7","","-24.8","","-20.8","","38.8","","0.0","","0.0","","1.0","","0.6","","44","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2010-01-25","2010","01","25","","-19.1","","-26.5","","-22.8","","40.8","","0.0","","0.0","","0.0","T","0.0","T","45","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2010-01-26","2010","01","26","","-15.8","","-26.8","","-21.3","","39.3","","0.0","","0.0","","0.0","T","0.0","T","45","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2010-01-27","2010","01","27","","-13.6","","-25.5","","-19.6","","37.6","","0.0","","0.0","","0.0","T","0.0","T","45","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2010-01-28","2010","01","28","","-20.7","","-27.1","","-23.9","","41.9","","0.0","","0.0","","0.0","","0.0","","45","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2010-01-29","2010","01","29","","-24.2","","-28.9","","-26.6","","44.6","","0.0","","0.0","","0.0","T","0.0","T","45","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2010-01-30","2010","01","30","","-24.2","","-31.1","","-27.7","","45.7","","0.0","","0.0","","0.0","T","0.0","T","45","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2010-01-31","2010","01","31","","-21.5","","-30.3","","-25.9","","43.9","","0.0","","0.0","","0.0","","0.0","","45","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2010-02-01","2010","02","01","","-20.7","","-26.1","","-23.4","","41.4","","0.0","","0.0","","0.2","","0.0","T","45","","","","",""
"-115.78","60.84","HAY RIVER A","2202400","2010-02-02","2010","02","02","","-20.0","","-26.1","","-23.1","","41.1","","0.0","","0.0","","1.2","","0.6","","45","","","","",""
"-115.78","60.84","HAY RIVER A","2202400","2010-02-03","2010","02","03","","-21.4","","-31.6","","-26.5","","44.5","","0.0","","0.0","","3.0","","2.2","","46","","","","",""
"-115.78","60.84","HAY RIVER A","2202400","2010-02-04","2010","02","04","","-15.0","","-32.4","","-23.7","","41.7","","0.0","","0.0","","0.6","","0.2","","47","","","","",""
"-115.78","60.84","HAY RIVER A","2202400","2010-02-05","2010","02","05","","-12.8","","-21.4","","-17.1","","35.1","","0.0","","0.0","","0.2","","0.0","T","47","","","","",""
"-115.78","60.84","HAY RIVER A","2202400","2010-02-06","2010","02","06","","-8.6","","-23.1","","-15.9","","33.9","","0.0","","0.0","","0.0","T","0.0","T","47","","","","",""
"-115.78","60.84","HAY RIVER A","2202400","2010-02-07","2010","02","07","","-4.6","","-14.0","","-9.3","","27.3","","0.0","","0.0","","0.0","","0.0","","46","","","","",""
"-115.78","60.84","HAY RIVER A","2202400","2010-02-08","2010","02","08","","-3.0","","-12.1","","-7.6","","25.6","","0.0","","0.0","","0.0","","0.0","","46","","","","",""
"-115.78","60.84","HAY RIVER A","2202400","2010-02-09","2010","02","09","","-5.9","","-20.3","","-13.1","","31.1","","0.0","","0.0","","0.0","T","0.0","T","45","","","","",""
"-115.78","60.84","HAY RIVER A","2202400","2010-02-10","2010","02","10","","-15.4","","-21.0","","-18.2","","36.2","","0.0","","0.0","","0.0","T","0.0","T","45","","","","",""
"-115.78","60.84","HAY RIVER A","2202400","2010-02-11","2010","02","11","","-8.8","","-22.2","","-15.5","","33.5","","0.0","","0.0","","0.0","","0.0","","45","","","","",""
"-115.78","60.84","HAY RIVER A","2202400","2010-02-12","2010","02","12","","-9.5","","-20.2","","-14.9","","32.9","","0.0","","0.0","","0.0","T","0.0","T","45","","","","",""
"-115.78","60.84","HAY RIVER A","2202400","2010-02-13","2010","02","13","","-1.7","","-11.0","","-6.4","","24.4","","0.0","","0.0","","0.0","","0.0","","45","","","","",""
"-115.78","60.84","HAY RIVER A","2202400","2010-02-14","2010","02","14","","-1.1","","-10.6","","-5.9","","23.9","","0.0","","0.0","","0.0","","0.0","","44","","","","",""
"-115.78","60.84","HAY RIVER A","2202400","2010-02-15","2010","02","15","","3.8","","-8.7","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","44","","","","",""
"-115.78","60.84","HAY RIVER A","2202400","2010-02-16","2010","02","16","","2.6","","-11.9","","-4.7","","22.7","","0.0","","0.0","","0.0","","0.0","","44","","","","",""
"-115.78","60.84","HAY RIVER A","2202400","2010-02-17","2010","02","17","","3.3","","-9.8","","-3.3","","21.3","","0.0","","0.0","","0.0","","0.0","","44","","","","",""
