"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.78","60.84","HAY RIVER A","2202400","2012-01-01","2012","01","01","","-14.7","","-26.0","","-20.4","","38.4","","0.0","","0.0","","0.0","T","0.0","T","28","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2012-01-02","2012","01","02","","-3.8","","-14.7","","-9.3","","27.3","","0.0","","0.0","","0.0","","0.0","","28","","13","","39",""
"-115.78","60.84","HAY RIVER A","2202400","2012-01-03","2012","01","03","","-0.8","","-22.2","","-11.5","","29.5","","0.0","","0.0","","0.0","","0.0","","28","","26","","48",""
"-115.78","60.84","HAY RIVER A","2202400","2012-01-04","2012","01","04","","-11.2","","-18.7","","-15.0","","33.0","","0.0","","0.0","","7.4","","4.4","","28","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2012-01-05","2012","01","05","","-11.2","","-18.3","","-14.8","","32.8","","0.0","","0.0","","0.6","","0.2","","32","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2012-01-06","2012","01","06","","-16.3","","-26.9","","-21.6","","39.6","","0.0","","0.0","","0.0","T","0.0","T","32","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2012-01-07","2012","01","07","","-4.7","","-24.6","","-14.7","","32.7","","0.0","","0.0","","0.0","","0.0","","32","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2012-01-08","2012","01","08","","-1.4","","-13.8","","-7.6","","25.6","","0.0","","0.0","","0.4","","0.4","","29","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2012-01-09","2012","01","09","","-5.8","","-16.3","","-11.1","","29.1","","0.0","","0.0","","1.4","","1.4","","28","","32","E","37","E"
"-115.78","60.84","HAY RIVER A","2202400","2012-01-10","2012","01","10","","-12.2","","-24.9","","-18.6","","36.6","","0.0","","0.0","","3.8","","3.8","","28","","32","E","59","E"
"-115.78","60.84","HAY RIVER A","2202400","2012-01-11","2012","01","11","","-12.9","","-23.5","","-18.2","","36.2","","0.0","","0.0","","0.0","","0.0","","28","","17","E","39","E"
"-115.78","60.84","HAY RIVER A","2202400","2012-01-12","2012","01","12","","-13.4","","-20.5","","-17.0","","35.0","","0.0","","0.0","","0.0","","0.0","","28","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2012-01-13","2012","01","13","","-16.3","","-18.2","","-17.3","","35.3","","0.0","","0.0","","0.2","","0.0","T","28","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2012-01-14","2012","01","14","","-15.7","","-21.7","","-18.7","","36.7","","0.0","","0.0","","12.8","","9.0","","28","","31","E","54","E"
"-115.78","60.84","HAY RIVER A","2202400","2012-01-15","2012","01","15","","-21.6","","-30.0","","-25.8","","43.8","","0.0","","0.0","","4.2","","3.0","","35","","31","E","39","E"
"-115.78","60.84","HAY RIVER A","2202400","2012-01-16","2012","01","16","","-27.8","","-34.3","","-31.1","","49.1","","0.0","","0.0","","0.4","","0.2","","37","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2012-01-17","2012","01","17","","-18.6","","-29.2","","-23.9","","41.9","","0.0","","0.0","","0.8","","0.4","","37","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2012-01-18","2012","01","18","","-17.3","","-21.2","","-19.3","","37.3","","0.0","","0.0","","1.6","","1.4","","36","","31","","63",""
"-115.78","60.84","HAY RIVER A","2202400","2012-01-19","2012","01","19","","-20.1","","-28.3","","-24.2","","42.2","","0.0","","0.0","","0.0","T","0.0","T","34","","30","","39",""
"-115.78","60.84","HAY RIVER A","2202400","2012-01-20","2012","01","20","","-17.8","","-24.8","","-21.3","","39.3","","0.0","","0.0","","0.0","T","0.0","T","34","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2012-01-21","2012","01","21","","-17.6","","-31.0","","-24.3","","42.3","","0.0","","0.0","","0.2","","0.0","T","34","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2012-01-22","2012","01","22","","-16.3","","-26.6","","-21.5","","39.5","","0.0","","0.0","","2.4","","2.0","","34","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2012-01-23","2012","01","23","","-18.0","","-27.4","","-22.7","","40.7","","0.0","","0.0","","0.0","T","0.0","T","36","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2012-01-24","2012","01","24","","-15.0","","-25.2","","-20.1","","38.1","","0.0","","0.0","","0.6","","0.4","","36","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2012-01-25","2012","01","25","","-13.6","","-20.2","","-16.9","","34.9","","0.0","","0.0","","6.0","","5.0","","39","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2012-01-26","2012","01","26","","-19.3","","-29.1","","-24.2","","42.2","","0.0","","0.0","","0.6","","0.2","","39","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2012-01-27","2012","01","27","","-28.7","","-33.6","","-31.2","","49.2","","0.0","","0.0","","0.0","","0.0","","39","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2012-01-28","2012","01","28","","-27.0","","-38.9","","-33.0","","51.0","","0.0","","0.0","","0.0","T","0.0","T","39","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2012-01-29","2012","01","29","","-19.8","","-28.3","","-24.1","","42.1","","0.0","","0.0","","2.8","","1.0","","39","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2012-01-30","2012","01","30","","-21.6","","-23.8","","-22.7","","40.7","","0.0","","0.0","","3.6","","2.8","","43","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2012-01-31","2012","01","31","","-15.4","","-32.4","","-23.9","","41.9","","0.0","","0.0","","0.0","T","0.0","T","45","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2012-02-01","2012","02","01","","-15.5","","-27.9","","-21.7","","39.7","","0.0","","0.0","","0.0","","0.0","","45","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2012-02-02","2012","02","02","","1.5","","-25.3","","-11.9","","29.9","","0.0","","0.0","T","0.0","T","0.0","T","42","","18","E","52","E"
"-115.78","60.84","HAY RIVER A","2202400","2012-02-03","2012","02","03","","9.1","","-4.3","","2.4","","15.6","","0.0","","0.0","","0.0","","0.0","","38","","16","E","44","E"
"-115.78","60.84","HAY RIVER A","2202400","2012-02-04","2012","02","04","","9.4","","-6.5","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","34","","23","E","44","E"
"-115.78","60.84","HAY RIVER A","2202400","2012-02-05","2012","02","05","","-3.7","","-20.3","","-12.0","","30.0","","0.0","","0.0","","1.0","","0.4","","29","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2012-02-06","2012","02","06","","-3.2","","-20.7","","-12.0","","30.0","","0.0","","0.0","","0.0","","0.0","","29","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2012-02-07","2012","02","07","","-2.5","","-16.0","","-9.3","","27.3","","0.0","","0.0","","0.0","","0.0","","29","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2012-02-08","2012","02","08","","-15.6","","-25.8","","-20.7","","38.7","","0.0","","0.0","","0.0","","0.0","","29","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2012-02-09","2012","02","09","","-15.2","","-29.8","","-22.5","","40.5","","0.0","","0.0","","0.0","","0.0","","29","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2012-02-10","2012","02","10","","-10.0","","-23.8","","-16.9","","34.9","","0.0","","0.0","","0.0","","0.0","","29","","19","E","37","E"
"-115.78","60.84","HAY RIVER A","2202400","2012-02-11","2012","02","11","","-6.9","","-14.1","","-10.5","","28.5","","0.0","","0.0","","0.0","","0.0","","28","","20","E","50","E"
"-115.78","60.84","HAY RIVER A","2202400","2012-02-12","2012","02","12","","0.6","","-13.4","","-6.4","","24.4","","0.0","","0.0","","0.0","","0.0","","28","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2012-02-13","2012","02","13","","1.4","","-10.8","","-4.7","","22.7","","0.0","","0.0","","0.0","","0.0","","28","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2012-02-14","2012","02","14","","-8.0","","-15.6","","-11.8","","29.8","","0.0","","0.0","","0.0","","0.0","","27","","","","<31",""
"-115.78","60.84","HAY RIVER A","2202400","2012-02-15","2012","02","15","","-10.5","","-18.4","","-14.5","","32.5","","0.0","","0.0","","0.0","","0.0","","27","","","","<31",""
