datetime,station,date,flow,st_max_temp,st_min_temp,st_mean_temp,st_heat_deg_days,st_cool_deg_days,st_total_rain,st_total_snow,st_total_precip,st_total_snow_on_ground,st_dir_of_max_gust_10sdeg,st_spd_of_max_gust_kmh,era5_noon_t2m,era5_noon_evavt,era5_noon_ro,era5_noon_sd,era5_noon_es,era5_noon_sf,era5_noon_smlt,era5_noon_stl1,era5_noon_ssr,era5_noon_e,era5_noon_tp
1997-01-01,07SA002,1/1/1997,85.0,-22.7,-44.8,-33.8,51.8,0.0,,,,,,,244.94226033136997,4.581133043807273e-06,6.588324760757467e-05,0.05244577703350974,2.2100474877313022e-07,0.001173218709652681,-1.862645149230957e-09,269.15178143759175,223.0,4.103337441275632e-06,0.0011768811049235907
1997-01-02,07SA002,1/2/1997,84.0,-23.4,-31.0,-27.2,45.2,0.0,,,,,,,246.74655324804795,8.478149332301705e-07,6.586262421561068e-05,0.05478415238816202,-1.2460670172050568e-05,0.001578046403019486,-1.862645149230957e-09,269.5814493105867,267.5054275774943,-1.1595896614172944e-05,0.001582336384039159
1997-01-03,07SA002,1/3/1997,82.6,-31.0,-44.0,-37.5,55.5,0.0,,,,,,,237.89260103530933,-6.650567796660399e-06,6.581451228398004e-05,0.05498463347099636,1.5204236554091882e-05,1.360685807282762e-05,-1.862645149230957e-09,269.49565679910086,668.0,1.0482113756968167e-05,1.3979788026662312e-05
1997-01-04,07SA002,1/4/1997,81.9,-28.6,-44.9,-36.8,54.8,0.0,,,,,,,242.23399643821432,1.8927746163947368e-07,6.581451228398004e-05,0.05609600126401625,-4.182768102403628e-06,0.0011072717697860836,-1.862645149230957e-09,269.4865672701287,668.0,-4.213783517868382e-06,0.0011099512270157424
1997-01-05,07SA002,1/5/1997,80.8,-34.7,-45.7,-40.2,58.2,0.0,,,,,,,237.25316183811498,-2.912682128630148e-06,6.571169008832219e-05,0.05634805657516887,3.2154295648554074e-06,0.00023110918611818972,-1.862645149230957e-09,269.3114387543052,934.5054275774943,1.6271410382335325e-06,0.00023369836993075122
1997-01-06,07SA002,1/6/1997,79.9,-19.2,-39.1,-29.2,47.2,0.0,,,,,,,247.68916132410888,1.251996780802406e-05,6.566370200431923e-05,0.05639997005120955,3.269236536758477e-05,1.2329977301615426e-05,-1.862645149230957e-09,269.39151648013234,1281.5994556205414,4.589890207071255e-05,1.281619989066825e-05
1997-01-07,07SA002,1/7/1997,78.9,-18.5,-31.0,-24.8,42.8,0.0,,,,,,,243.02337413968513,-7.1363341537171865e-06,6.564313588424516e-05,0.05677989708187773,-8.328915703714763e-06,0.0003600481352437121,-1.862645149230957e-09,269.6739872861766,1726.5994556205414,-1.5462605001584135e-05,0.0003646290888546651
1997-01-08,07SA002,1/8/1997,78.1,-27.9,-31.2,-29.6,47.6,0.0,,,,,,,243.009527539519,-5.315321571288059e-06,6.559514780024219e-05,0.05769733733916375,-1.4396371572248026e-05,0.0009302298819803349,-1.862645149230957e-09,269.60321599431643,1780.0,-1.9717032560976665e-05,0.0009331052756072124
1997-01-09,07SA002,1/9/1997,77.2,-31.0,-46.4,-38.7,56.7,0.0,,,,,,,238.03979362392522,-5.5786269266369754e-06,6.525184367051384e-05,0.058171732849001206,1.5312811109170056e-06,0.00014215943720141948,-1.862645149230957e-09,269.53723332617375,2905.8521715192383,-3.7257455826995198e-06,0.00014537925386896492
1997-01-10,07SA002,1/10/1997,76.4,-31.4,-47.7,-39.6,57.6,0.0,,,,,,,234.9115385909975,-2.7085444816043664e-06,6.523127615335643e-05,0.058188809579729356,1.0076923854757318e-05,3.298962690675646e-06,-1.862645149230957e-09,269.24364667261113,3697.4461995622855,1.1726763092597332e-05,5.63014577681817e-06
1997-01-11,07SA002,1/11/1997,75.6,-22.1,-31.4,-26.8,44.8,0.0,,,,,,,246.50528883082342,4.236145844383965e-06,6.51831577023825e-05,0.05816278476307708,-4.3527614450685636e-05,6.385469056633409e-06,-1.862645149230957e-09,269.35824643845984,3239.5940280430473,-3.951925389455382e-05,1.092017506016693e-05
1997-01-12,07SA002,1/12/1997,74.7,-17.9,-24.6,-21.3,39.3,0.0,,,,,,,249.53219197266213,6.933950156379823e-07,6.511460210122214e-05,0.05813313938319178,-1.2410617691981338e-05,2.953373065481869e-06,-1.862645149230957e-09,269.59802872283103,4195.846743941744,-1.161412207521647e-05,5.2912614191909775e-06
1997-01-13,07SA002,1/13/1997,73.7,-13.6,-28.4,-21.0,39.0,0.0,,,,,,,257.0396704815032,5.248786673661609e-06,6.50115004974239e-05,0.05821422231566143,3.458497459297214e-06,7.391221085782047e-05,-1.862645149230957e-09,269.868078810024,3684.0940280430473,1.0008414518782587e-05,7.903197850638326e-05
1997-01-14,07SA002,1/14/1997,73.4,-13.3,-40.7,-27.0,45.0,0.0,,,,,,,250.75382810333693,-4.24977758571568e-05,6.496351893276423e-05,0.06536631453725603,-0.0002187517029737488,0.007222161559578096,-1.862645149230957e-09,270.12187779219556,5321.6826285086,-0.0002612118254049497,0.007224653200357056
1997-01-15,07SA002,1/15/1997,72.6,-37.9,-46.6,-42.3,60.3,0.0,,,,,,,238.269439841594,-1.4521539018920805e-05,6.489483436171624e-05,0.065333870823532,7.567187926564399e-07,1.153362637393848e-06,-1.862645149230957e-09,269.84975900642587,8805.24394121059,-1.1094954869368044e-05,3.3774168465327943e-06
